行政区域コード,"都道府県名（漢字）","市区町村名（漢字）","都道府県名（ｶﾅ）","市区町村名（ｶﾅ）",コードの改定区分,改正年月日,改正後のコード,改正後の名称,"改正後の名称 (ｶﾅ)",改正事由等
01000,北海道,,ﾎｯｶｲﾄﾞｳ,,,,01000,,,
01100,北海道,札幌市,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼ,,,01100,,,
01101,北海道,札幌市中央区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ,,,01101,,,
01102,北海道,札幌市北区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼｷﾀｸ,,,01102,,,
01103,北海道,札幌市東区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾋｶﾞｼｸ,,,01103,,,
01104,北海道,札幌市白石区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼｼﾛｲｼｸ,,,01104,,,
01105,北海道,札幌市豊平区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾄﾖﾋﾗｸ,,,01105,,,
01106,北海道,札幌市南区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾐﾅﾐｸ,,,01106,,,
01107,北海道,札幌市西区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾆｼｸ,,,01107,,,
01108,北海道,札幌市厚別区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼｱﾂﾍﾞﾂｸ,,,01108,,,
01109,北海道,札幌市手稲区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾃｲﾈｸ,,,01109,,,
01110,北海道,札幌市清田区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼｷﾖﾀｸ,,,01110,,,
01202,北海道,函館市,ﾎｯｶｲﾄﾞｳ,ﾊｺﾀﾞﾃｼ,,,01202,,,
01203,北海道,小樽市,ﾎｯｶｲﾄﾞｳ,ｵﾀﾙｼ,,,01203,,,
01204,北海道,旭川市,ﾎｯｶｲﾄﾞｳ,ｱｻﾋｶﾜｼ,,,01204,,,
01205,北海道,室蘭市,ﾎｯｶｲﾄﾞｳ,ﾑﾛﾗﾝｼ,,,01205,,,
01206,北海道,釧路市,ﾎｯｶｲﾄﾞｳ,ｸｼﾛｼ,,,01206,,,
01207,北海道,帯広市,ﾎｯｶｲﾄﾞｳ,ｵﾋﾞﾋﾛｼ,,,01207,,,
01208,北海道,北見市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾐｼ,,,01208,,,
01209,北海道,夕張市,ﾎｯｶｲﾄﾞｳ,ﾕｳﾊﾞﾘｼ,,,01209,,,
01210,北海道,岩見沢市,ﾎｯｶｲﾄﾞｳ,ｲﾜﾐｻﾞﾜｼ,,,01210,,,
01211,北海道,網走市,ﾎｯｶｲﾄﾞｳ,ｱﾊﾞｼﾘｼ,,,01211,,,
01212,北海道,留萌市,ﾎｯｶｲﾄﾞｳ,ﾙﾓｲｼ,,,01212,,,
01213,北海道,苫小牧市,ﾎｯｶｲﾄﾞｳ,ﾄﾏｺﾏｲｼ,,,01213,,,
01214,北海道,稚内市,ﾎｯｶｲﾄﾞｳ,ﾜｯｶﾅｲｼ,,,01214,,,
01215,北海道,美唄市,ﾎｯｶｲﾄﾞｳ,ﾋﾞﾊﾞｲｼ,,,01215,,,
01216,北海道,芦別市,ﾎｯｶｲﾄﾞｳ,ｱｼﾍﾞﾂｼ,,,01216,,,
01217,北海道,江別市,ﾎｯｶｲﾄﾞｳ,ｴﾍﾞﾂｼ,,,01217,,,
01218,北海道,赤平市,ﾎｯｶｲﾄﾞｳ,ｱｶﾋﾞﾗｼ,,,01218,,,
01219,北海道,紋別市,ﾎｯｶｲﾄﾞｳ,ﾓﾝﾍﾞﾂｼ,,,01219,,,
01220,北海道,士別市,ﾎｯｶｲﾄﾞｳ,ｼﾍﾞﾂｼ,,,01220,,,
01221,北海道,名寄市,ﾎｯｶｲﾄﾞｳ,ﾅﾖﾛｼ,,,01221,,,
01222,北海道,三笠市,ﾎｯｶｲﾄﾞｳ,ﾐｶｻｼ,,,01222,,,
01223,北海道,根室市,ﾎｯｶｲﾄﾞｳ,ﾈﾑﾛｼ,,,01223,,,
01224,北海道,千歳市,ﾎｯｶｲﾄﾞｳ,ﾁﾄｾｼ,,,01224,,,
01225,北海道,滝川市,ﾎｯｶｲﾄﾞｳ,ﾀｷｶﾜｼ,,,01225,,,
01226,北海道,砂川市,ﾎｯｶｲﾄﾞｳ,ｽﾅｶﾞﾜｼ,,,01226,,,
01227,北海道,歌志内市,ﾎｯｶｲﾄﾞｳ,ｳﾀｼﾅｲｼ,,,01227,,,
01228,北海道,深川市,ﾎｯｶｲﾄﾞｳ,ﾌｶｶﾞﾜｼ,,,01228,,,
01229,北海道,富良野市,ﾎｯｶｲﾄﾞｳ,ﾌﾗﾉｼ,,,01229,,,
01230,北海道,登別市,ﾎｯｶｲﾄﾞｳ,ﾉﾎﾞﾘﾍﾞﾂｼ,,,01230,,,
01231,北海道,恵庭市,ﾎｯｶｲﾄﾞｳ,ｴﾆﾜｼ,,,01231,,,
01233,北海道,伊達市,ﾎｯｶｲﾄﾞｳ,ﾀﾞﾃｼ,,,01233,,,
01234,北海道,北広島市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾋﾛｼﾏｼ,,,01234,,,
01235,北海道,石狩市,ﾎｯｶｲﾄﾞｳ,ｲｼｶﾘｼ,,,01235,,,
01236,北海道,北斗市,ﾎｯｶｲﾄﾞｳ,ﾎｸﾄｼ,,,01236,,,
01303,北海道,当別町,ﾎｯｶｲﾄﾞｳ,ﾄｳﾍﾞﾂﾁｮｳ,,,01303,,,
01304,北海道,新篠津村,ﾎｯｶｲﾄﾞｳ,ｼﾝｼﾉﾂﾑﾗ,,,01304,,,
01305,北海道,厚田村,ﾎｯｶｲﾄﾞｳ,ｱﾂﾀﾑﾗ,欠番,.10.1,01235,石狩市,ｲｼｶﾘｼ,合併後は石狩市
01306,北海道,浜益村,ﾎｯｶｲﾄﾞｳ,ﾊﾏﾏｽﾑﾗ,欠番,.10.1,01235,石狩市,ｲｼｶﾘｼ,合併後は石狩市
01331,北海道,松前町,ﾎｯｶｲﾄﾞｳ,ﾏﾂﾏｴﾁｮｳ,,,01331,,,
01332,北海道,福島町,ﾎｯｶｲﾄﾞｳ,ﾌｸｼﾏﾁｮｳ,,,01332,,,
01333,北海道,知内町,ﾎｯｶｲﾄﾞｳ,ｼﾘｳﾁﾁｮｳ,,,01333,,,
01334,北海道,木古内町,ﾎｯｶｲﾄﾞｳ,ｷｺﾅｲﾁｮｳ,,,01334,,,
01335,北海道,上磯町,ﾎｯｶｲﾄﾞｳ,ｶﾐｲｿﾁｮｳ,欠番,.2.1,01236,北斗市,ﾎｸﾄｼ,合併後は北斗市
